,name,taste,url,timestamp,retailer,label,roastlevel,Weight250,curreny,price250,Weight1000,price1000,typ,origin_list,country1,country2,country3,country4,country5,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure
0,Tavola Espresso,"Kakao, geröstete Haselnuss",https://www.rastshop.ch/de/kaffee/tavola-espresso,2022-12-09 08:41:22.699349+00:00,Rast Kaffee,NaN,61.25,250,CHF,7.00,1000,25.90,Espresso-Mischung,"Brasilien,CostaRica,Guatemala,Indien",Brasilien,CostaRica,Guatemala,Indien,,4,3,3,1,2,4,3,2,4,4,2
1,Mocca,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,2022-12-09 08:41:23.050507+00:00,Rast Kaffee,NaN,55.0,250,CHF,6.50,1000,23.90,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,,3,3,4,3,2,4,4,3,4,3,1
2,Visconti,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,2022-12-09 08:41:23.111444+00:00,Rast Kaffee,NaN,57.5,250,CHF,6.50,1000,23.90,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,,3,3,4,2,2,5,4,3,4,3,1
3,Wiener,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,2022-12-09 08:41:23.122361+00:00,Rast Kaffee,NaN,58.75,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,,3,3,3,2,0,5,4,2,4,3,1
4,Eldorado,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,2022-12-09 08:41:23.132514+00:00,Rast Kaffee,NaN,51.25,250,CHF,7.00,1000,25.90,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,,3,2,2,3,3,3,2,1,3,3,2
5,Premium,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,2022-12-09 08:41:23.143021+00:00,Rast Kaffee,NaN,51.25,250,CHF,7.00,1000,25.90,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,,3,4,1,1,3,1,2,3,2,3,2
6,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,2022-12-09 08:41:23.164756+00:00,Rast Kaffee,NaN,55.0,250,CHF,7.00,1000,25.90,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien,3,3,1,1,3,2,1,1,4,4,4
7,Festival,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,2022-12-09 08:41:23.174620+00:00,Rast Kaffee,NaN,55.0,250,CHF,7.50,1000,27.90,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,,3,3,2,1,3,2,1,1,2,3,5
8,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,2022-12-09 08:41:23.183367+00:00,Rast Kaffee,NaN,57.5,250,CHF,7.50,1000,27.90,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala,3,3,0,5,5,5,1,0,4,2,5
9,Latino No 5,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,2022-12-09 08:41:23.289326+00:00,Rast Kaffee,NaN,55.0,250,CHF,9.00,1000,33.90,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien,3,5,0,2,4,4,1,1,5,2,5
10,Fairtrade Crème,"dunkle Schokolade, Haselnuss, Karamell",https://www.rastshop.ch/de/kaffee/fairtrade-creme,2022-12-09 08:41:23.302477+00:00,Rast Kaffee,Fairtrade,55.0,250,CHF,7.30,1000,26.90,Kaffee-Mischung,"Brasilien,Peru,Honduras",Brasilien,Peru,Honduras,,,3,2,3,4,5,3,4,3,3,2,2
11,Bio Crème,"Waldbeere, schwarze Kirsche",https://www.rastshop.ch/de/kaffee/bio-creme,2022-12-09 08:41:23.310589+00:00,Rast Kaffee,Bio,56.25,250,CHF,7.80,1000,28.90,Kaffee-Mischung,"Peru,Äthiopien,Indonesien",Peru,Äthiopien,Indonesien,,,3,3,0,5,4,5,1,0,4,2,5
12,Rainforest Crème,"Baumnuss, Schokolade, herb",https://www.rastshop.ch/de/kaffee/rainforest-creme,2022-12-09 08:41:23.318115+00:00,Rast Kaffee,Rainforest,50.0,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Guatemala,Brasilien,CostaRica",Guatemala,Brasilien,CostaRica,,,3,3,3,1,2,4,4,2,2,3,1
13,Christmas Edition,"Datteln, Orange, leicht Nelke",https://www.rastshop.ch/de/kaffee/christmas-edition,2022-12-09 08:41:23.326164+00:00,Rast Kaffee,NaN,,250,CHF,8.80,1000,32.90,Kaffee-Mischung,"Brasilien,Indien,Indonesien,Kenia",Brasilien,Indien,Indonesien,Kenia,,0,3,2,1,3,5,3,2,3,3,3
14,Jubiläums-Edition,"Aprikose, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/jubilaums-edition,2022-12-09 08:41:23.334137+00:00,Rast Kaffee,NaN,55.0,250,CHF,7.50,1000,27.90,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien,3,4,1,2,4,2,1,1,5,4,4
15,Tavola Crème,"dunkle Schokolade, Walnuss",https://www.rastshop.ch/de/kaffee/tavola-creme,2022-12-09 08:41:23.342500+00:00,Rast Kaffee,NaN,56.25,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Brasilien,CostaRica,Guatemala,Indien",Brasilien,CostaRica,Guatemala,Indien,,3,4,2,0,1,3,3,2,3,3,1
16,Home-Office,"Haselnuss, getrocknete Aprikose",https://www.rastshop.ch/de/kaffee/home-office,2022-12-09 08:41:23.350156+00:00,Rast Kaffee,NaN,48.75,250,CHF,7.50,1000,27.90,Kaffee-Mischung,"Kolumbien,Äthiopien,Brasilien",Kolumbien,Äthiopien,Brasilien,,,3,4,1,2,3,3,2,1,2,3,3
17,Milano,"dunkle Schokolade, würzig",https://www.rastshop.ch/de/kaffee/milano,2022-12-09 08:41:23.357247+00:00,Rast Kaffee,NaN,61.25,250,CHF,6.80,1000,24.90,Espresso-Mischung,"Guatemala,Brasilien,CostaRica,Indonesien",Guatemala,Brasilien,CostaRica,Indonesien,,4,3,3,0,0,3,5,4,4,4,1
18,Roma,"würzig, angenehme Röstaromen",https://www.rastshop.ch/de/kaffee/roma,2022-12-09 08:41:23.364144+00:00,Rast Kaffee,NaN,73.75,250,CHF,7.00,1000,25.90,Espresso-Mischung,"Indonesien,Brasilien,Kolumbien",Indonesien,Brasilien,Kolumbien,,,4,2,4,1,0,3,4,4,3,3,1
19,Sicilia,"nussig, Bittermandel",https://www.rastshop.ch/de/kaffee/sicilia,2022-12-09 08:41:23.371451+00:00,Rast Kaffee,NaN,88.75,250,CHF,6.80,1000,24.90,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,,5,2,5,0,0,4,3,5,4,4,0
