,Unnamed: 0,name,url,taste,price_250g,price_1000g,timestamp,Weight250,price250gcurrency,curreny,price250,Weight1000,price1000gcurrency,price1000,typ,origin_list,country1,country2,country3,country4,country5
0,0,Mocca,https://www.rastshop.ch/de/kaffee/mocca,Schwarzbrot,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 14:16:54.085692+00:00,250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,
1,1,Visconti,https://www.rastshop.ch/de/kaffee/visconti,dunkle Schokolade,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 14:16:54.177828+00:00,250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,
2,2,Wiener,https://www.rastshop.ch/de/kaffee/wiener,"Toast, Zartbitterschokolade",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.323966+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,
3,3,Eldorado,https://www.rastshop.ch/de/kaffee/eldorado,"Süssholz, Geranie, frische Erde",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.425748+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,
4,4,Premium,https://www.rastshop.ch/de/kaffee/premium,"Mandeln, Brotkruste",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.430885+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,
5,5,Latino No 2,https://www.rastshop.ch/de/kaffee/latino-no-2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.435501+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
6,6,Festival,https://www.rastshop.ch/de/kaffee/festival,"dunkle Beeren, Schokolade, Akazienhonig",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 14:16:54.440086+00:00,250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,
7,7,Barista Crème,https://www.rastshop.ch/de/kaffee/barista-creme,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.444384+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala
8,8,Latino No 5,https://www.rastshop.ch/de/kaffee/latino-no-5,nussig,250 g à CHF 9.00,1 kg à CHF 33.90,2022-12-08 14:16:54.448726+00:00,250,CHF 9.00,CHF,9.00,1000,CHF 33.90,33.90,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien
9,9,Fairtrade Crème,https://www.rastshop.ch/de/kaffee/fairtrade-creme,"dunkle Schokolade, Haselnuss, Karamell",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.504757+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Kaffee-Mischung,"Brasilien,Peru,Honduras",Brasilien,Peru,Honduras,,
10,10,Bio Crème,https://www.rastshop.ch/de/kaffee/bio-creme,"Waldbeere, schwarze Kirsche",250 g à CHF 7.80,1 kg à CHF 28.90,2022-12-08 14:16:54.512085+00:00,250,CHF 7.80,CHF,7.80,1000,CHF 28.90,28.90,Kaffee-Mischung,"Peru,Äthiopien,Indonesien",Peru,Äthiopien,Indonesien,,
11,11,Rainforest Crème,https://www.rastshop.ch/de/kaffee/rainforest-creme,"Baumnuss, Schokolade, herb",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.516892+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Kaffee-Mischung,"Guatemala,Brasilien,CostaRica",Guatemala,Brasilien,CostaRica,,
12,12,Jubiläums-Edition,https://www.rastshop.ch/de/kaffee/jubilaums-edition,"Aprikose, Zwetschge, Mandeln",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 14:16:54.521815+00:00,250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
13,13,Home-Office,https://www.rastshop.ch/de/kaffee/home-office,"Haselnuss, getrocknete Aprikose",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 14:16:54.526140+00:00,250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Kaffee-Mischung,"Kolumbien,Äthiopien,Brasilien",Kolumbien,Äthiopien,Brasilien,,
14,14,Milano,https://www.rastshop.ch/de/kaffee/milano,"würzig, dunkle Schokolade",250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 14:16:54.530441+00:00,250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Espresso-Mischung,"Guatemala,Brasilien,CostaRica,Indonesien",Guatemala,Brasilien,CostaRica,Indonesien,
15,15,Roma,https://www.rastshop.ch/de/kaffee/roma,"würzig, angenehme Röstaromen",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.534817+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Espresso-Mischung,"Indonesien,Brasilien,Kolumbien",Indonesien,Brasilien,Kolumbien,,
16,16,Sicilia,https://www.rastshop.ch/de/kaffee/sicilia,"nussig, Bittermandel",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.539553+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,
17,17,Venezia,https://www.rastshop.ch/de/kaffee/venezia,"süsse, rote Beeren",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.543945+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Espresso-Mischung,"Indonesien,Äthiopien,CostaRica,Brasilien",Indonesien,Äthiopien,CostaRica,Brasilien,
18,18,Vesuvio,https://www.rastshop.ch/de/kaffee/vesuvio,"würzig, leichte Rauchnote",250 g à CHF 6.60,1 kg à CHF 24.40,2022-12-08 14:16:54.548421+00:00,250,CHF 6.60,CHF,6.60,1000,CHF 24.40,24.40,Espresso-Mischung,"Indonesien,Guatemala,Kolumbien,Burundi",Indonesien,Guatemala,Kolumbien,Burundi,
19,19,Barista Espresso,https://www.rastshop.ch/de/kaffee/barista-espresso,"Mandel, Zitrusnote",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.552857+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Espresso-Mischung,"Guatemala,Kenia,Indonesien,Indien,Brasilien",Guatemala,Kenia,Indonesien,Indien,Brasilien
20,20,Tropical Rainforest,https://www.rastshop.ch/de/kaffee/tropical-rainforest,"Süssholz, Karamell, gebrannte Mandeln",250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 14:16:54.557487+00:00,250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,
21,21,Fairtrade Espresso,https://www.rastshop.ch/de/kaffee/fairtrade-espresso,"Haselnuss, leicht erdig, zartbitter, Süssholz",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.561792+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,
22,22,Bio Espresso,https://www.rastshop.ch/de/kaffee/bio-espresso,dunkle Nussschokolade,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.566367+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,
23,23,Rainforest Espresso,https://www.rastshop.ch/de/kaffee/rainforest-espresso,"Bittermandel, dunkle Schokolade",250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 14:16:54.571200+00:00,250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,
24,24,La Pastora Tarrazu,https://www.rastshop.ch/de/kaffee/la-pastora-tarrazu,"Lemon, Aprikose, schokoladig",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.575674+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,CostaRica,CostaRica,,,,
25,25,Serrano Lavado,https://www.rastshop.ch/de/kaffee/serrano-lavado,"Walnuss, dunkle Schokolade",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.590321+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Kuba,Kuba,,,,
26,26,Antigua,https://www.rastshop.ch/de/kaffee/antigua-la-ceiba,"Haselnuss, Bitterschokolade",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.595942+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Guatemala,Guatemala,,,,
27,27,Herminio Bio,https://www.rastshop.ch/de/kaffee/herminio-bio,"Zitrus, Früchtetee, Nussschokolade",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.629035+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Guatemala,Guatemala,,,,
28,28,Blue Mountain,https://www.rastshop.ch/de/kaffee/blue-mountain-wallenford-estate,"Erdnuss, Haselnuss, Karamell, Schokolade",250 g à CHF 39.50,1 kg à CHF 156.00,2022-12-08 14:16:54.637063+00:00,250,CHF 39.50,CHF,39.50,1000,CHF 156.00,156.00,Einzelsorte,Jamaika,Jamaika,,,,
