,name,taste,url,timestamp,retailer,Weight250,currency,price_250_wayback,Weight1000,price1000_wayback,type,origin_list,country1,country2,country3,country4,country5
0,Mocca,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,2022-12-13 13:32:02.912208,Rast Kaffee,250,CHF,6.30,1000,22.90,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,
1,Visconti,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,2022-12-13 13:32:02.954476,Rast Kaffee,250,CHF,6.30,1000,22.90,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,
2,Wiener,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,2022-12-13 13:32:03.025513,Rast Kaffee,250,CHF,6.50,1000,23.90,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,
3,Eldorado,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,2022-12-13 13:32:03.114152,Rast Kaffee,250,CHF,6.50,1000,23.90,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,
4,Premium,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,2022-12-13 13:32:03.151746,Rast Kaffee,250,CHF,6.50,1000,23.90,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,
5,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,2022-12-13 13:32:03.306807,Rast Kaffee,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
6,Festival,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,2022-12-13 13:32:03.314174,Rast Kaffee,250,CHF,7.00,1000,25.90,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,
7,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,2022-12-13 13:32:03.321170,Rast Kaffee,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala
8,Latino No 5,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,2022-12-13 13:32:03.328480,Rast Kaffee,250,CHF,9.00,1000,33.90,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien
9,Fairtrade Crème,"dunkle Schokolade, Haselnuss, Karamell",https://www.rastshop.ch/de/kaffee/fairtrade-creme,2022-12-13 13:32:03.467952,Rast Kaffee,250,CHF,6.80,1000,24.90,Kaffee-Mischung,"Brasilien,Peru,Honduras",Brasilien,Peru,Honduras,,
