,name,url
0,{'Tavola Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/tavola-espresso'}
1,{'Mocca'},{'url': 'https://www.rastshop.ch/de/kaffee/mocca'}
2,{'Visconti'},{'url': 'https://www.rastshop.ch/de/kaffee/visconti'}
3,{'Wiener'},{'url': 'https://www.rastshop.ch/de/kaffee/wiener'}
4,{'Eldorado'},{'url': 'https://www.rastshop.ch/de/kaffee/eldorado'}
5,{'Premium'},{'url': 'https://www.rastshop.ch/de/kaffee/premium'}
6,{'Latino No 2'},{'url': 'https://www.rastshop.ch/de/kaffee/latino-no-2'}
7,{'Festival'},{'url': 'https://www.rastshop.ch/de/kaffee/festival'}
8,{'Barista Crème'},{'url': 'https://www.rastshop.ch/de/kaffee/barista-creme'}
9,{'Latino No 5'},{'url': 'https://www.rastshop.ch/de/kaffee/latino-no-5'}
10,{'Fairtrade Crème'},{'url': 'https://www.rastshop.ch/de/kaffee/fairtrade-creme'}
11,{'Bio Crème'},{'url': 'https://www.rastshop.ch/de/kaffee/bio-creme'}
12,{'Rainforest Crème'},{'url': 'https://www.rastshop.ch/de/kaffee/rainforest-creme'}
13,{'Christmas Edition'},{'url': 'https://www.rastshop.ch/de/kaffee/christmas-edition'}
14,{'Jubiläums-Edition'},{'url': 'https://www.rastshop.ch/de/kaffee/jubilaums-edition'}
15,{'Tavola Crème'},{'url': 'https://www.rastshop.ch/de/kaffee/tavola-creme'}
16,{'Home-Office'},{'url': 'https://www.rastshop.ch/de/kaffee/home-office'}
17,{'Milano'},{'url': 'https://www.rastshop.ch/de/kaffee/milano'}
18,{'Roma'},{'url': 'https://www.rastshop.ch/de/kaffee/roma'}
19,{'Sicilia'},{'url': 'https://www.rastshop.ch/de/kaffee/sicilia'}
20,{'Venezia'},{'url': 'https://www.rastshop.ch/de/kaffee/venezia'}
21,{'Vesuvio'},{'url': 'https://www.rastshop.ch/de/kaffee/vesuvio'}
22,{'Barista Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/barista-espresso'}
23,{'Tropical Rainforest'},{'url': 'https://www.rastshop.ch/de/kaffee/tropical-rainforest'}
24,{'Fairtrade Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/fairtrade-espresso'}
25,{'Bio Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/bio-espresso'}
26,{'Rainforest Espresso'},{'url': 'https://www.rastshop.ch/de/kaffee/rainforest-espresso'}
27,{'Palmichal'},{'url': 'https://www.rastshop.ch/de/kaffee/palmichal'}
28,{'Serrano Lavado'},{'url': 'https://www.rastshop.ch/de/kaffee/serrano-lavado'}
29,{'Herminio Bio'},{'url': 'https://www.rastshop.ch/de/kaffee/herminio-bio'}
30,{'Buena Vista'},{'url': 'https://www.rastshop.ch/de/kaffee/buena-vista'}
31,{'Blue Mountain'},{'url': 'https://www.rastshop.ch/de/kaffee/blue-mountain'}
32,{'Iglesia'},{'url': 'https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo'}
33,{'Berilo Bio'},{'url': 'https://www.rastshop.ch/de/kaffee/berilo-bio'}
34,{'Comsa Bio Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/comsa-bio-fairtrade'}
35,{'Gesha natural'},{'url': 'https://www.rastshop.ch/de/kaffee/gesha-natural'}
36,{'Gesha washed'},{'url': 'https://www.rastshop.ch/de/kaffee/gesha-washed'}
37,{'Bahareque Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/bahareque-fairtrade'}
38,{'Vista Alegre'},{'url': 'https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre'}
39,{'Apas Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/apas-fairtrade'}
40,{'Taioba'},{'url': 'https://www.rastshop.ch/de/kaffee/taioba'}
41,{'Yellow Bourbon'},{'url': 'https://www.rastshop.ch/de/kaffee/yellow-bourbon-fazenda-samambaia'}
42,{'El Palto BIO Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/el-palto-bio-fairtrade'}
43,{'Vilcabamba'},{'url': 'https://www.rastshop.ch/de/kaffee/vilcabamba'}
44,{'Pink Bourbon'},{'url': 'https://www.rastshop.ch/de/kaffee/pink-bourbon'}
45,{'Guji BIO'},{'url': 'https://www.rastshop.ch/de/kaffee/guji'}
46,{'Yirga Cheffe BIO'},{'url': 'https://www.rastshop.ch/de/kaffee/yirga-cheffe-bio'}
47,{'Limu'},{'url': 'https://www.rastshop.ch/de/kaffee/limu'}
48,{'Nyeri'},{'url': 'https://www.rastshop.ch/de/kaffee/nyeri-kenia'}
49,{'Bukoba Bio Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/bukoba-bio-fairtrade'}
50,{'Laurina Pointu de Bourbon'},{'url': 'https://www.rastshop.ch/de/kaffee/laurina-pointu-de-bourbon'}
51,{'Butihinda'},{'url': 'https://www.rastshop.ch/de/kaffee/butihinda'}
52,{'Somaho'},{'url': 'https://www.rastshop.ch/de/kaffee/somaho'}
53,{'Java Baron'},{'url': 'https://www.rastshop.ch/de/kaffee/java-baron'}
54,"{'Mandheling, Gold'}",{'url': 'https://www.rastshop.ch/de/kaffee/mandheling-gold'}
55,{'Malabar'},{'url': 'https://www.rastshop.ch/de/kaffee/malabar-monsooned-aspinwall'}
56,{'Plantation RFA'},{'url': 'https://www.rastshop.ch/de/kaffee/plantation-rfa'}
57,{'Kerkeicoondah'},{'url': 'https://www.rastshop.ch/de/kaffee/kerkeicoondah-balehonnur-farm'}
58,{'Blawan'},{'url': 'https://www.rastshop.ch/de/kaffee/blawan'}
59,{'Aceh Mandheling BIO Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/aceh-mandheling-bio-fairtrade'}
60,{'Sigri'},{'url': 'https://www.rastshop.ch/de/kaffee/sigri-estate-plantation'}
61,{'Captain Cook'},{'url': 'https://www.rastshop.ch/de/kaffee/captain-cook'}
62,{'Dornröschen'},{'url': 'https://www.rastshop.ch/de/kaffee/dornroschen'}
63,{'Koffeinfrei Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/koffeinfrei-fairtrade'}
