,Unnamed: 0,name,url,taste,price_250g,price_1000g,label,roastlevel,chartjs,Weight250,price250gcurrency,curreny,price250,Weight1000,price1000gcurrency,price1000,typ,origin_list,country1,country2,country3,country4,country5,roastlevel_cat,chart_values,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure
0,0,Mocca,https://www.rastshop.ch/de/kaffee/mocca,Schwarzbrot,250 g à CHF 6.30,1 kg à CHF 22.90,NaN,55.0,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [3,4,3,2,4,4,3,4,3,1];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Kaffee-Mischung,"Indonesien, Brasilien, Costa Rica",Indonesien, Brasilien, Costa Rica,,,3,"3,4,3,2,4,4,3,4,3,1",3,4,3,2,4,4,3,4,3,1
1,1,Visconti,https://www.rastshop.ch/de/kaffee/visconti,dunkle Schokolade,250 g à CHF 6.30,1 kg à CHF 22.90,NaN,57.5,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [3,4,2,2,5,4,3,4,3,1];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Kaffee-Mischung,"Brasilien, Kolumbien, Indonesien, Costa Rica",Brasilien, Kolumbien, Indonesien, Costa Rica,,3,"3,4,2,2,5,4,3,4,3,1",3,4,2,2,5,4,3,4,3,1
2,2,Wiener,https://www.rastshop.ch/de/kaffee/wiener,"Toast, Zartbitterschokolade",250 g à CHF 6.50,1 kg à CHF 23.90,NaN,58.75,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [3,3,2,0,5,4,2,4,3,1];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Kaffee-Mischung,"Guatemala, Indonesien, Costa Rica, Brasilien",Guatemala, Indonesien, Costa Rica, Brasilien,,3,"3,3,2,0,5,4,2,4,3,1",3,3,2,0,5,4,2,4,3,1
3,3,Eldorado,https://www.rastshop.ch/de/kaffee/eldorado,"Süssholz, Geranie, frische Erde",250 g à CHF 6.50,1 kg à CHF 23.90,NaN,51.25,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [2,2,3,3,3,2,1,3,3,2];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Kaffee-Mischung,"Indien, Guatemala, Brasilien, Costa Rica",Indien, Guatemala, Brasilien, Costa Rica,,3,"2,2,3,3,3,2,1,3,3,2",2,2,3,3,3,2,1,3,3,2
4,4,Premium,https://www.rastshop.ch/de/kaffee/premium,"Mandeln, Brotkruste",250 g à CHF 6.50,1 kg à CHF 23.90,NaN,51.25,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [4,1,1,3,1,2,3,2,3,2];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Kaffee-Mischung,"Indonesien, Guatemala, Brasilien, Indien",Indonesien, Guatemala, Brasilien, Indien,,3,"4,1,1,3,1,2,3,2,3,2",4,1,1,3,1,2,3,2,3,2
5,5,Latino No 2,https://www.rastshop.ch/de/kaffee/latino-no-2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",250 g à CHF 6.80,1 kg à CHF 24.90,NaN,55.0,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [3,1,1,3,2,1,1,4,4,4];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Kaffee-Mischung,"Brasilien, PNG, Guatemala, Costa Rica, Kolumbien",Brasilien, PNG, Guatemala, Costa Rica, Kolumbien,3,"3,1,1,3,2,1,1,4,4,4",3,1,1,3,2,1,1,4,4,4
6,6,Festival,https://www.rastshop.ch/de/kaffee/festival,"dunkle Beeren, Schokolade, Akazienhonig",250 g à CHF 7.00,1 kg à CHF 25.90,NaN,55.0,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [3,2,1,3,2,1,1,2,3,5];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Kaffee-Mischung,"Kenia, Guatemala, Brasilien, Costa Rica",Kenia, Guatemala, Brasilien, Costa Rica,,3,"3,2,1,3,2,1,1,2,3,5",3,2,1,3,2,1,1,2,3,5
7,7,Barista Crème,https://www.rastshop.ch/de/kaffee/barista-creme,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",250 g à CHF 6.80,1 kg à CHF 24.90,NaN,57.5,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [3,0,5,5,5,1,0,4,2,5];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Kaffee-Mischung,"Kenia, Costa Rica, Indonesien, PNG, Guatemala",Kenia, Costa Rica, Indonesien, PNG, Guatemala,3,"3,0,5,5,5,1,0,4,2,5",3,0,5,5,5,1,0,4,2,5
8,8,Latino No 5,https://www.rastshop.ch/de/kaffee/latino-no-5,nussig,250 g à CHF 9.00,1 kg à CHF 33.90,NaN,55.0,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [5,0,2,4,4,1,1,5,2,5];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 9.00,CHF,9.00,1000,CHF 33.90,33.90,Kaffee-Mischung,"Kolumbien, Jamaika, Costa R., Guatemala, Brasilien",Kolumbien, Jamaika, Costa R., Guatemala, Brasilien,3,"5,0,2,4,4,1,1,5,2,5",5,0,2,4,4,1,1,5,2,5
9,9,Fairtrade Crème,https://www.rastshop.ch/de/kaffee/fairtrade-creme,"dunkle Schokolade, Haselnuss, Karamell",250 g à CHF 6.80,1 kg à CHF 24.90,Fairtrade,55.0,"
        // ============================================================
        // taste chart js
        (function() {
            // cart data
            var chartdata =  [2,3,4,5,3,4,3,3,2,2];
            // data
            var data = {
                labels: ["""", """", """", """", """", """", """", """", """", """"],
                datasets: [{
                    data: chartdata,
                    borderWidth: 0,
                    borderColor: ""transparent"",
                }]
            };
            // options
            var options = {
                aspectRatio: 1,
                animation: false,
                scale: {
                    angleLines: {
                        display: false,
                    },
                    gridLines:{
                        display: true,
                        color: ""#BBB4A4""
                    },
                    ticks: {
                        display: false,
                        suggestedMin: -1,
                        suggestedMax: 5
                    },
                    pointLabels: {
                        fontColor: ""#1b1717"",
                        fontSize: 12
                    },
                },
                elements:{
                    line: {
                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",
                    },
                    point: {
                        radius: 5,
                        hoverRadius: 5,
                        backgroundColor: ""#000000"",
                        hoverBackgroundColor: ""#C76A15"",
                    }
                },
                tooltips:{
                    titleMarginBottom: 0,
                    callbacks: {
                        title: function(tooltipItem, data) {
                            return tooltipItem[0].value;
                        },
                        label: function(tooltipItem, data) {
                            return """";
                        }
                    },
                },
                legend: {
                    display: false,
                },
                dragData: true,
                dragX: false,
                dragDataRound: 0,
                dragOptions: {
                    showTooltip: true
                },
                onDrag: function (e, datasetIndex, index, value) {
                    if(value < 0){
                        e.preventDefault();
                        return false;
                    }
                },
                onDragEnd: function (e, datasetIndex, index, value) {
                    // on drag end
                }
                , animationSteps: 300
                , scaleFontSize: 16
                , pointLabelFontSize: 14
                , tooltipFontSize: 12
                , tooltipTitleFontSize: 12
                , pointDotRadius: 1
                , pointLabelFontFamily: ""proxima-nova""
            };
            // create chart
            var ctx = $(""[data-taste-chart]"");
            if (ctx.length > 0) {
                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {
                    options.dragData = false;
                }
                var radarChart = new Chart(ctx, {
                    type: ""radar"",
                    data: data,
                    options: options
                });
            }
        })();
    ",250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Kaffee-Mischung,"Brasilien, Peru, Honduras",Brasilien, Peru, Honduras,,,3,"2,3,4,5,3,4,3,3,2,2",2,3,4,5,3,4,3,3,2,2
