Unnamed: 0.1,Unnamed: 0,name,taste,url,price_250g,price_1000g,timestamp,retailer,Weight250,price250gcurrency,curreny,price250,Weight1000,price1000gcurrency,price1000,typ,origin_list,country1,country2,country3,country4,country5
0,0,Mocca,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.018890+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,
1,1,Visconti,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.090485+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,
2,2,Wiener,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.198905+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,
3,3,Eldorado,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.224035+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,
4,4,Premium,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.312571+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,
5,5,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.317152+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
6,6,Festival,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.321468+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,
7,7,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.325883+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala
8,8,Latino No 5,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,250 g à CHF 9.00,1 kg à CHF 33.90,2022-12-08 15:29:54.330045+00:00,Rast Kaffee,250,CHF 9.00,CHF,9.0,1000,CHF 33.90,33.9,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien
9,9,Fairtrade Crème,"dunkle Schokolade, Haselnuss, Karamell",https://www.rastshop.ch/de/kaffee/fairtrade-creme,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.379860+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Kaffee-Mischung,"Brasilien,Peru,Honduras",Brasilien,Peru,Honduras,,
10,10,Bio Crème,"Waldbeere, schwarze Kirsche",https://www.rastshop.ch/de/kaffee/bio-creme,250 g à CHF 7.80,1 kg à CHF 28.90,2022-12-08 15:29:54.386510+00:00,Rast Kaffee,250,CHF 7.80,CHF,7.8,1000,CHF 28.90,28.9,Kaffee-Mischung,"Peru,Äthiopien,Indonesien",Peru,Äthiopien,Indonesien,,
11,11,Rainforest Crème,"Baumnuss, Schokolade, herb",https://www.rastshop.ch/de/kaffee/rainforest-creme,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.390723+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Kaffee-Mischung,"Guatemala,Brasilien,CostaRica",Guatemala,Brasilien,CostaRica,,
12,12,Jubiläums-Edition,"Aprikose, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/jubilaums-edition,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.394933+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
13,13,Home-Office,"Haselnuss, getrocknete Aprikose",https://www.rastshop.ch/de/kaffee/home-office,250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 15:29:54.399122+00:00,Rast Kaffee,250,CHF 7.00,CHF,7.0,1000,CHF 25.90,25.9,Kaffee-Mischung,"Kolumbien,Äthiopien,Brasilien",Kolumbien,Äthiopien,Brasilien,,
14,14,Milano,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/milano,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.403340+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Espresso-Mischung,"Guatemala,Brasilien,CostaRica,Indonesien",Guatemala,Brasilien,CostaRica,Indonesien,
15,15,Roma,"würzig, angenehme Röstaromen",https://www.rastshop.ch/de/kaffee/roma,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.407452+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Espresso-Mischung,"Indonesien,Brasilien,Kolumbien",Indonesien,Brasilien,Kolumbien,,
16,16,Sicilia,"nussig, Bittermandel",https://www.rastshop.ch/de/kaffee/sicilia,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.411681+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,
17,17,Venezia,"süsse, rote Beeren",https://www.rastshop.ch/de/kaffee/venezia,250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 15:29:54.415860+00:00,Rast Kaffee,250,CHF 6.50,CHF,6.5,1000,CHF 23.90,23.9,Espresso-Mischung,"Indonesien,Äthiopien,CostaRica,Brasilien",Indonesien,Äthiopien,CostaRica,Brasilien,
18,18,Vesuvio,"würzig, leichte Rauchnote",https://www.rastshop.ch/de/kaffee/vesuvio,250 g à CHF 6.60,1 kg à CHF 24.40,2022-12-08 15:29:54.420107+00:00,Rast Kaffee,250,CHF 6.60,CHF,6.6,1000,CHF 24.40,24.4,Espresso-Mischung,"Indonesien,Guatemala,Kolumbien,Burundi",Indonesien,Guatemala,Kolumbien,Burundi,
19,19,Barista Espresso,"Mandel, Zitrusnote",https://www.rastshop.ch/de/kaffee/barista-espresso,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.424230+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Espresso-Mischung,"Guatemala,Kenia,Indonesien,Indien,Brasilien",Guatemala,Kenia,Indonesien,Indien,Brasilien
20,20,Tropical Rainforest,"Süssholz, Karamell, gebrannte Mandeln",https://www.rastshop.ch/de/kaffee/tropical-rainforest,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.428421+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,
21,21,Fairtrade Espresso,"Haselnuss, leicht erdig, zartbitter, Süssholz",https://www.rastshop.ch/de/kaffee/fairtrade-espresso,250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 15:29:54.432627+00:00,Rast Kaffee,250,CHF 6.80,CHF,6.8,1000,CHF 24.90,24.9,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,
22,22,Bio Espresso,dunkle Nussschokolade,https://www.rastshop.ch/de/kaffee/bio-espresso,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.436857+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,
23,23,Rainforest Espresso,"Bittermandel, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/rainforest-espresso,250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 15:29:54.441011+00:00,Rast Kaffee,250,CHF 6.30,CHF,6.3,1000,CHF 22.90,22.9,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,
24,24,La Pastora Tarrazu,"Lemon, Aprikose, schokoladig",https://www.rastshop.ch/de/kaffee/la-pastora-tarrazu,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.445204+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,CostaRica,CostaRica,,,,
25,25,Serrano Lavado,"Walnuss, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/serrano-lavado,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 15:29:54.466073+00:00,Rast Kaffee,250,CHF 7.50,CHF,7.5,1000,CHF 27.90,27.9,Einzelsorte,Kuba,Kuba,,,,
