,Unnamed: 0_x,name,taste_x,url_x,timestamp_x,retailer_x,label,roastlevel,Weight250_x,curreny_x,price250_x,Weight1000_x,price1000_x,typ_x,origin_list_x,country1_x,country2_x,country3_x,country4_x,country5_x,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure,Unnamed: 0_y,taste_y,url_y,timestamp_y,retailer_y,Weight250_y,curreny_y,price250_y,Weight1000_y,price1000_y,typ_y,origin_list_y,country1_y,country2_y,country3_y,country4_y,country5_y
0,0,Tavola Espresso,"Kakao, geröstete Haselnuss",https://www.rastshop.ch/de/kaffee/tavola-espresso,2022-12-09 08:41:22.699349+00:00,Rast Kaffee,,61.25,250,CHF,7.0,1000,25.9,Espresso-Mischung,"Brasilien,CostaRica,Guatemala,Indien",Brasilien,CostaRica,Guatemala,Indien,,4,3,3,1,2,4,3,2,4,4,2,,,,,,,,,,,,,,,,,
1,1,Mocca,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,2022-12-09 08:41:23.050507+00:00,Rast Kaffee,,55.0,250,CHF,6.5,1000,23.9,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,,3,3,4,3,2,4,4,3,4,3,1,0.0,Schwarzbrot,https://www.rastshop.ch/de/kaffee/mocca,2022-12-09 08:44:19.458946+00:00,Rast Kaffee,250.0,CHF,6.3,1000.0,22.9,Kaffee-Mischung,"Indonesien,Brasilien,CostaRica",Indonesien,Brasilien,CostaRica,,
2,2,Visconti,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,2022-12-09 08:41:23.111444+00:00,Rast Kaffee,,57.5,250,CHF,6.5,1000,23.9,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,,3,3,4,2,2,5,4,3,4,3,1,1.0,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/visconti,2022-12-09 08:44:19.498347+00:00,Rast Kaffee,250.0,CHF,6.3,1000.0,22.9,Kaffee-Mischung,"Brasilien,Kolumbien,Indonesien,CostaRica",Brasilien,Kolumbien,Indonesien,CostaRica,
3,3,Wiener,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,2022-12-09 08:41:23.122361+00:00,Rast Kaffee,,58.75,250,CHF,6.8,1000,24.9,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,,3,3,3,2,0,5,4,2,4,3,1,2.0,"Toast, Zartbitterschokolade",https://www.rastshop.ch/de/kaffee/wiener,2022-12-09 08:44:19.567166+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Kaffee-Mischung,"Guatemala,Indonesien,CostaRica,Brasilien",Guatemala,Indonesien,CostaRica,Brasilien,
4,4,Eldorado,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,2022-12-09 08:41:23.132514+00:00,Rast Kaffee,,51.25,250,CHF,7.0,1000,25.9,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,,3,2,2,3,3,3,2,1,3,3,2,3.0,"Süssholz, Geranie, frische Erde",https://www.rastshop.ch/de/kaffee/eldorado,2022-12-09 08:44:19.660523+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Kaffee-Mischung,"Indien,Guatemala,Brasilien,CostaRica",Indien,Guatemala,Brasilien,CostaRica,
5,5,Premium,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,2022-12-09 08:41:23.143021+00:00,Rast Kaffee,,51.25,250,CHF,7.0,1000,25.9,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,,3,4,1,1,3,1,2,3,2,3,2,4.0,"Mandeln, Brotkruste",https://www.rastshop.ch/de/kaffee/premium,2022-12-09 08:44:19.669936+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Kaffee-Mischung,"Indonesien,Guatemala,Brasilien,Indien",Indonesien,Guatemala,Brasilien,Indien,
6,6,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,2022-12-09 08:41:23.164756+00:00,Rast Kaffee,,55.0,250,CHF,7.0,1000,25.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien,3,3,1,1,3,2,1,1,4,4,4,5.0,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",https://www.rastshop.ch/de/kaffee/latino-no-2,2022-12-09 08:44:19.841858+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Kaffee-Mischung,"Brasilien,PNG,Guatemala,CostaRica,Kolumbien",Brasilien,PNG,Guatemala,CostaRica,Kolumbien
7,7,Festival,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,2022-12-09 08:41:23.174620+00:00,Rast Kaffee,,55.0,250,CHF,7.5,1000,27.9,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,,3,3,2,1,3,2,1,1,2,3,5,6.0,"dunkle Beeren, Schokolade, Akazienhonig",https://www.rastshop.ch/de/kaffee/festival,2022-12-09 08:44:19.851279+00:00,Rast Kaffee,250.0,CHF,7.0,1000.0,25.9,Kaffee-Mischung,"Kenia,Guatemala,Brasilien,CostaRica",Kenia,Guatemala,Brasilien,CostaRica,
8,8,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,2022-12-09 08:41:23.183367+00:00,Rast Kaffee,,57.5,250,CHF,7.5,1000,27.9,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala,3,3,0,5,5,5,1,0,4,2,5,7.0,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",https://www.rastshop.ch/de/kaffee/barista-creme,2022-12-09 08:44:19.858951+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Kaffee-Mischung,"Kenia,CostaRica,Indonesien,PNG,Guatemala",Kenia,CostaRica,Indonesien,PNG,Guatemala
9,9,Latino No 5,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,2022-12-09 08:41:23.289326+00:00,Rast Kaffee,,55.0,250,CHF,9.0,1000,33.9,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien,3,5,0,2,4,4,1,1,5,2,5,8.0,nussig,https://www.rastshop.ch/de/kaffee/latino-no-5,2022-12-09 08:44:19.866701+00:00,Rast Kaffee,250.0,CHF,9.0,1000.0,33.9,Kaffee-Mischung,"Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien",Kolumbien,Jamaika,CostaR.,Guatemala,Brasilien
